Site,Station,Group,Month,Temp(C),Hard(mgL),Alkalinity(mgL),Nitrates(ugL),Nitrites(ugL),SRP(ugL),Sio2(mgL),NH4(ugL),TN(ugL),TP(ugL),Chloro. A(ugL),Turb(FTU),TDS(mg/L),Cond,DO(mg/L),ORP(mV),pH,secchi(m),LNW,BSW,BAW,SVW,SAW,MVW,LVW,HW,BJW,ONW,BPW,PAW,OVW,TZW,MKW,MPW,SW,TotalBiomass,Shan,Snum,J
Dunga,Cages,DungaCages,November,26.145,44.66666667,81.66666667,31.3030303,11.90909091,62.47619048,21.96568628,27.54166667,655.0909091,107.7142857,16.03333333,38.45,79,157.5,4.555,187.7,7.705,0.4,46.24,0,0.05,32.16,0,1.11,0,0,1.42,0,0,0,0,0,0,0,0,80.98,0.859435559,5,0.533997337
Dunga,Cages,DungaCages,December,25.61,43,70.33333333,16.45454546,10.94949495,43.42857143,23.53529412,12.64583333,477.5151515,78.90476191,14.535,27.35,82,164,6.3,110.3,7.085,0.525,287.4,156,36.5,353.4,30.5,0,54.6,0,0,0,0,0,0,0,0,0,0,918.4,1.38531905,6,0.773161283
Dunga,Cages,DungaCages,January,26.46,34.33333333,70,10.57166667,6.575,28.11333333,25.805,13.125,543.355,107.4433333,17.02666667,32.55,45.5,140.5,4.73,82.4,7.425,0.4,340.7,66.7,66.3,669.3,63.2,0,161.7,0,2.8,42.6,0,0,0,0,0,0,0,1413.3,1.64893014,8,0.792967779
Dunga,Cages,DungaCages,February,26.595,28.66666667,62.33333333,28.57434343,6.808888889,38.80880952,20.66872549,51.70916667,989.1136363,126.905,18.64466667,55.95,102.5,205.5,5.595,29.1,7.67,0.375,649.5,407.5,202.5,979.2,28.6,14.5,35.6,0,2.8,0,0,0,0,0,0,0,0,2320.2,1.477937054,8,0.710737486
Dunga,Cages,DungaCages,March,27.195,34,92.33333333,7.701111111,5.395959596,12,11.14264706,38.6675,658.8625758,144.3085714,53.58947333,86.05,106.75,181.5,5.185,19.65,7.83,0.2,32.9,0,30,121.5,0,0,0,0,0,0,0,0,0,0,0,0,0,184.4,1.034601233,3,0.941734626
Dunga,Cages,DungaCages,April,26.675,41,102.3333333,11.95,11.17166667,23.665,1.695,12.85666667,571.265,177.1583333,29.02333333,69.55,127,254,5.585,6.7,7.55,0.3,2235.6,0,43.6,1890.9,0,0,76.5,0,0,0,0,0,0,0,0,0,0,4246.6,0.900697172,4,0.649715671
Dunga,Cages,DungaCages,May,26.715,42,84.66666667,3.165808081,2.212121212,2.952380953,1.55,10.14583333,107.5151515,61.28571429,26.03833333,20,84,168,4.415,-124.9,6.95,0.5,717.7,48.9,4.1,1228.4,0,0,60.2,0,0,0,0,0,0,0,0,0,0,2059.3,1.12459429,5,0.698749719
Dunga,Cages,DungaCages,June,24.5,34,76.66666667,4.282828283,1.656565657,5.095238095,6.008823529,25.70583333,104.1818182,66.83333333,16.431,22.9,81,163,3.845,-195.2,7.415,0.375,560.5,28,4.5,1596.4,0,0,227,0,0,0,0,0,0,0,0,0,0,2416.4,0.977238228,5,0.60719225
Dunga,Cages,DungaCages,July,25.355,31.66666667,73.66666667,14.33333333,9.989898991,28.42857143,12.67284314,54.20833333,343.7418182,202.2433333,37.17233333,39.4,70,140,5.07,-174.6,7.39,0.35,714.6,71.6,57.3,1007.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1851.3,1.249913517,4,0.901622016
Mfangano,Cages,MfanganoCages,November,26.33,39.33333333,60.33333333,2.666666667,1.101010101,8.19047619,3.289215686,4.520833333,335.3939394,39.61904762,6.391666667,1.65,52,104,6.85,88,8.56,2.675,304.6,20.2,0,0,0,0,0,1435.6,0,0,0,0,0,0,0,0,0,1760.4,0.354829009,3,0.322979282
